,Unnamed: 0,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Hotel Name
17,19,Kudahuvadhoo,0.0,MV,1584561406.0,77.0,2.67,72.89,302.05,4.23,Niyama Private Islands Maldives
52,58,Māngrol,0.0,IN,1584561443.0,66.0,21.12,70.12,299.05,3.93,Kaveri Hotel
55,62,Port Hedland,0.0,AU,1584561446.0,88.0,-20.32,118.57,300.15,2.1,The Esplanade Hotel
161,175,Lunsar,1.0,SL,1584561151.0,68.0,8.68,-12.53,299.1,2.55,Bai-Suba Resort
188,204,Port Blair,0.0,IN,1584561442.0,68.0,11.67,92.75,300.95,3.87,Sinclairs Bayview Port Blair
303,325,Acapulco de Juárez,5.0,MX,1584561612.0,66.0,16.86,-99.89,304.15,3.6,Dreams Acapulco Resort & Spa
304,326,Kupang,1.0,ID,1584561665.0,71.0,-10.17,123.58,300.45,2.93,SOTIS HOTEL KUPANG
398,425,Muli,0.0,MV,1584561809.0,73.0,2.92,73.57,302.15,3.99,Medhufushi Island Resort
519,558,Bandarbeyla,2.0,SO,1584561415.0,76.0,9.49,50.81,299.95,3.09,REER XOOSHLE GROUP
